Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
2024-03-07,4973.67,6085.0,6226.52,5691.97,6613.207142857143,8675.339,8336.746222222222,78.22000000000025,414.8998808433395,1374.1935934622786,1262.4976810574574
2024-03-06,5073.0,6167.67,6322.18,5794.28,6466.315714285714,8533.875666666667,8323.769555555557,95.65999999999985,265.52646615465784,1391.178270721931,1277.2143716354594
2024-03-05,5074.33,6058.33,6257.08,5760.58,6374.160000000001,8420.072,8308.842,-65.10000000000036,190.3451782946188,1433.9204617180847,1293.5089973516474
2024-03-04,5132.33,6171.33,6346.24,5843.62,6335.538571428571,8318.871000000001,8299.272888888889,89.15999999999985,157.56143758641036,1470.3437755008692,1304.8838900735898
2024-03-01,4953.33,5979.0,6125.21,5655.71,6262.771428571427,8190.159,8286.003777777778,-221.02999999999975,105.43605651909132,1488.2220239725355,1320.9328766261597
2024-02-29,4830.33,5756.67,5931.95,5488.83,6193.925714285715,8037.011333333333,8274.247666666666,-193.26000000000022,141.50057995847038,1475.8666896057484,1337.2047442182009
2024-02-28,4814.33,5717.33,5912.04,5451.49,6160.174285714286,7899.2029999999995,8261.822222222223,-19.909999999999854,177.7349254608779,1474.7981788779575,1353.9835925729694
2024-02-27,5141.33,6144.33,6336.91,5839.15,6175.944285714286,7777.2006666666675,8255.98988888889,424.8699999999999,189.13448961497477,1446.3916384335853,1361.1932514273822
2024-02-26,5201.0,6201.33,6401.61,5897.48,6187.291428571429,7664.595,8249.223777777777,64.69999999999982,201.35787290534353,1416.2960311921754,1368.944881848198
2024-02-23,5011.0,5715.0,6026.96,5567.7,6154.417142857143,7547.333333333333,8239.188444444444,-374.64999999999964,206.77711412006383,1400.8011252686947,1381.9718388559197
2024-02-22,4777.0,5754.67,5900.94,5456.01,6090.802857142858,7428.351,8232.225333333332,-126.02000000000044,206.42507177461692,1383.3087926251885,1392.2332078445654
2024-02-21,4727.0,5755.67,5863.41,5420.43,6053.402857142857,7317.889999999999,8222.077888888889,-37.529999999999745,222.2611832742942,1371.0948542402737,1406.2192944231185
2024-02-20,4512.33,5507.0,5607.66,5186.25,6007.075714285714,7200.112,8211.896111111111,-255.75,278.481797900542,1360.8078070317797,1421.882518521824
2024-02-19,4400.67,5367.5,5455.18,5065.13,5941.8099999999995,7062.084333333333,8194.856666666667,-152.47999999999956,349.0588462327625,1318.7644439207336,1445.6947256059782
2024-02-16,4328.67,5228.0,5340.84,4960.04,5799.5142857142855,6916.200666666667,8175.995222222223,-114.34000000000015,363.8628192903472,1255.4547886830287,1471.7905100382711
