Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),Days,MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
1994-12-27,987.83,1334.33,1430.09,1430.0,61,984.6414285714285,968.7936666666666,,-2.169999999999959,9.40369329673369,24.69643803485023,
1994-12-28,985.67,1319.0,1420.19,1420.0,62,987.1899999999999,968.6436666666667,,-2.160000000000082,5.824431302709868,24.575496274265525,
1994-12-29,983.67,1336.0,1435.65,1436.0,63,988.3571428571429,968.555,,-2.0,3.4093680464533156,24.51420696460422,
1994-12-30,974.17,1318.0,1421.7,1422.0,64,986.5242857142857,968.1996666666668,,-9.5,6.398702621475851,24.346853295699237,
1995-01-03,971.0,1305.33,1411.14,1411.0,65,983.7628571428571,967.372,,-3.169999999999959,8.354658808683354,23.790873561674616,
1995-01-04,983.83,1336.33,1436.02,1436.0,66,982.3100000000001,966.744,,12.830000000000041,7.062008684974347,23.064564341774688,
1995-01-05,995.17,1356.67,1455.71,1456.0,67,983.0485714285714,966.6773333333333,,11.339999999999918,8.18185885271192,22.97630892798113,
1995-01-06,1012.83,1379.33,1475.8,1476.0,68,986.62,967.2216666666666,,17.660000000000082,14.002634275972971,23.88276006162023,
1995-01-09,994.83,1347.0,1446.09,1446.0,69,987.9285714285714,967.3216666666667,,-18.0,14.323393951354575,23.99536637501639,
1995-01-10,1007.83,1367.33,1469.17,1469.0,70,991.38,967.8660000000001,,13.0,15.945232307286089,24.736539300228053,
1995-01-11,1010.5,1378.67,1478.1,1478.0,71,996.5699999999999,969.3103333333332,,2.669999999999959,15.309801871132091,25.9306671700722,
1995-01-12,1009.83,1383.67,1485.34,1485.0,72,1002.1171428571428,971.9490000000001,,-0.6699999999999591,10.900667738393052,25.890669781296523,
1995-01-13,979.5,1327.67,1430.59,1431.0,73,1001.4985714285714,973.5213333333334,,-30.33000000000004,12.161308082837973,24.81146991897564,
1995-01-16,981.17,1336.33,1437.67,1438.0,74,999.4985714285714,974.8660000000001,,1.669999999999959,14.332855529134225,24.060410407254494,
1995-01-17,990.33,1345.33,1447.73,1448.0,75,996.2842857142857,976.4159999999999,,9.160000000000082,13.332908981341893,23.482953553295005,
1995-01-18,994.5,1357.33,1458.26,1458.0,76,996.2371428571429,978.1493333333333,,4.169999999999959,13.33948988815449,22.802470213029462,
1995-01-19,994.5,1362.33,1460.88,1461.0,77,994.3328571428572,979.705,,0.0,12.321330710445846,22.24790276826585,
1995-01-20,1007.5,1400.0,1498.67,1499.0,78,993.9042857142857,981.4773333333334,,13.0,11.701870017426591,22.274573866171824,
1995-01-23,996.5,1391.0,1489.01,1489.0,79,992.0,983.033,,-11.0,9.568418538782604,21.607842150797893,
1995-01-24,988.83,1375.67,1475.96,1476.0,80,993.3328571428572,984.3216666666667,,-7.669999999999959,8.069398396174009,20.714708265040866,
1995-01-25,1000.5,1394.33,1492.04,1492.0,81,996.0942857142857,986.5773333333334,,11.669999999999959,6.3343714687999455,18.47792792035651,
1995-01-26,1007.17,1408.67,1504.7,1505.0,82,998.5,989.1553333333334,,6.669999999999959,6.948354721322016,15.431714261788192,
1995-01-27,1004.83,1390.0,1492.01,1492.0,83,999.9757142857143,991.3106666666667,,-2.339999999999918,7.0533983703895045,12.611933028392166,
1995-01-30,1007.83,1397.67,1502.82,1503.0,84,1001.88,992.4993333333333,,3.0,7.1277018269087415,12.42480859030643,
1995-01-31,1011.17,1398.67,1497.47,1497.0,85,1002.4042857142857,993.9440000000001,,3.339999999999918,7.720323519003588,11.968790046300366,
1995-02-01,1009.0,1392.33,1493.1,1493.0,86,1004.1899999999999,995.0606666666667,,-2.169999999999959,7.571237239270614,11.749394388893057,
1995-02-02,1003.67,1381.33,1483.59,1484.0,87,1006.3100000000001,995.6163333333334,,-5.330000000000041,3.5782165017392065,11.749223153581175,
1995-02-03,1010.33,1378.33,1477.5,1478.0,88,1007.7142857142857,996.283,,6.660000000000082,2.7514230084474764,12.00358628881834,
1995-02-06,994.5,1345.67,1446.55,1447.0,89,1005.9042857142857,996.2996666666667,,-15.830000000000041,5.72727933415283,12.000653856707556,
1995-02-07,995.83,1340.67,1444.07,1444.0,90,1004.6185714285714,996.494,977.3641111111111,1.330000000000041,6.898986468003822,11.942183881605285,21.512684154658125
1995-02-08,1004.83,1354.0,1455.77,1456.0,91,1004.1899999999999,997.0606666666666,977.4418888888889,9.0,6.7579804675646695,11.920205371215625,21.599985585432407
1995-02-09,1003.0,1353.33,1454.76,1455.0,92,1003.0228571428571,997.6383333333334,977.5252222222223,-1.830000000000041,6.016393477505967,11.76811152439414,21.684738392785533
1995-02-10,1010.0,1377.67,1476.71,1477.0,93,1003.1657142857142,998.5160000000001,977.9715555555556,7.0,6.191302655452603,11.671882689491204,21.93651380694978
1995-02-13,1018.5,1382.33,1485.11,1485.0,94,1005.2842857142857,999.9936666666667,978.4901111111111,8.5,8.499617358333317,11.283005372235158,22.33764945408501
1995-02-14,1045.83,1429.0,1526.47,1526.0,95,1010.3557142857143,1002.4879999999999,979.429,27.329999999999927,17.663148886068228,12.819120793995015,23.360688435003464
1995-02-15,1038.67,1433.0,1524.61,1525.0,96,1016.6657142857142,1004.3160000000001,980.2827777777779,-7.1599999999998545,18.901073035802675,13.928802359586195,24.102637275989718
1995-02-16,1033.33,1441.0,1533.63,1534.0,97,1022.0228571428571,1005.588,981.0327777777779,-5.3400000000001455,17.25389783429169,14.78111315858504,24.690876267336893
1995-02-17,1029.5,1430.33,1525.15,1525.0,98,1025.547142857143,1006.1436666666667,981.7791111111112,-3.8299999999999272,15.596747218875773,15.36457198554029,25.130457488534162
1995-02-20,1036.33,1444.83,1540.68,1541.0,99,1030.3085714285714,1007.527,982.5772222222222,6.829999999999927,12.306834725158433,16.1585244183777,25.709473182046704
1995-02-21,1046.17,1459.33,1554.78,1555.0,100,1035.4757142857143,1008.8050000000001,983.5346666666668,9.840000000000146,9.669543003924561,17.6322887105563,26.453002939068824
1995-02-22,1042.67,1455.0,1553.42,1553.0,101,1038.9285714285713,1009.8773333333335,984.3921111111111,-3.5,6.33939647119755,18.685693205624172,27.104527359065013
1995-02-23,1045.0,1465.0,1562.15,1562.0,102,1038.81,1011.0496666666667,985.2976666666667,2.3299999999999272,6.194914581061724,19.755285016722734,27.75238910861472
1995-02-24,1051.67,1474.67,1568.62,1569.0,103,1040.6671428571428,1013.4553333333333,986.2625555555557,6.670000000000073,7.868491414676717,20.170719942245476,28.53145993031741
1995-02-27,1050.83,1458.67,1558.18,1558.0,104,1043.1671428571428,1015.7773333333333,987.0958888888889,-0.8400000000001455,7.928628957319127,20.334828951966582,29.30804065361262
1995-02-28,1039.67,1448.67,1543.9,1544.0,105,1044.6200000000001,1017.422,987.8422222222223,-11.159999999999854,5.5952747921779,20.200544273991902,29.78356702393395
1995-03-01,1041.83,1450.33,1545.82,1546.0,106,1045.4057142857143,1018.9996666666667,988.7236666666668,2.1599999999998545,4.519977349287971,20.196840907519828,30.196164629214238
1995-03-02,1032.33,1437.67,1538.22,1538.0,107,1043.4285714285713,1020.2606666666667,989.5014444444445,-9.5,6.653416236718504,19.791342226499545,30.40945042940154
1995-03-03,1035.5,1459.0,1568.46,1568.0,108,1042.4042857142856,1021.194,990.1977777777778,3.1700000000000728,7.309244961331091,19.82900080950714,30.73914843797138
1995-03-06,1017.67,1440.0,1553.19,1553.0,109,1038.5,1021.8996666666667,990.6088888888889,-17.83000000000004,11.682561077662562,19.289245616062008,30.857485076856435
1995-03-07,1023.83,1453.0,1559.13,1559.0,110,1034.5228571428572,1023.0663333333333,991.0977777777778,6.160000000000082,11.179816209409408,18.250616330326125,31.032849024892176
1995-03-08,1028.5,1444.67,1553.08,1553.0,111,1031.3328571428572,1023.9996666666666,991.6792222222223,4.669999999999959,8.651097645742661,17.766315373594132,31.23956322716794
1995-03-09,999.83,1404.0,1507.64,1508.0,112,1025.6414285714286,1023.755,992.0625555555555,-28.66999999999996,13.815597982679984,18.05428227930077,31.124062426603075
1995-03-10,1009.33,1390.33,1490.45,1490.0,113,1020.9985714285714,1023.905,992.5792222222221,9.5,12.899124555011424,17.90974128117447,31.01912125863549
1995-03-13,1011.67,1394.67,1500.62,1501.0,114,1018.0471428571428,1024.0330000000001,993.0774444444445,2.339999999999918,12.219990063123724,17.804304235502407,30.96094653349107
1995-03-14,993.33,1366.0,1467.68,1468.0,115,1012.0228571428571,1023.4383333333333,993.3718888888889,-18.339999999999918,12.571526974722554,18.53181124879335,30.834274556137217
1995-03-15,998.5,1383.33,1488.67,1489.0,116,1009.2842857142858,1023.0883333333333,993.8977777777778,5.169999999999959,13.208196769610472,18.90921397066758,30.50831147676893
1995-03-16,991.17,1361.33,1466.61,1467.0,117,1004.6185714285714,1022.6716666666667,994.3199999999998,-7.330000000000041,12.980152064557416,19.480930389757035,30.199714188691544
1995-03-17,999.17,1370.67,1474.4,1474.0,118,1000.4285714285714,1022.2996666666666,994.7755555555556,8.0,7.608960569773459,19.828186917536517,29.956531396064563
1995-03-20,1001.33,1376.67,1477.88,1478.0,119,1000.6428571428571,1022.5273333333333,995.2717777777777,2.160000000000082,7.610415482055505,19.535029003328972,29.686907778231383
1995-03-21,976.67,1345.0,1443.29,1443.0,120,995.9771428571429,1021.8886666666666,995.4236666666667,-24.660000000000082,10.757630957116424,20.715489745653702,29.554614098214657
1995-03-22,984.83,1356.0,1457.47,1457.0,121,992.1428571428571,1021.222,995.692111111111,8.160000000000082,8.845342869339536,21.58689519449047,29.344374668863257
1995-03-23,965.5,1335.0,1435.43,1435.0,122,988.1671428571428,1019.972,995.4179999999999,-19.33000000000004,13.3368470965283,23.664211506130545,29.511286060485855
1995-03-24,967.5,1331.0,1432.7,1433.0,123,983.7385714285714,1018.5553333333334,995.2087777777778,2.0,14.435523808266607,25.483946228994512,29.64289477849532
1995-03-27,963.83,1336.0,1436.1,1436.0,124,979.8328571428572,1016.733,994.9754444444444,-3.669999999999959,15.730273057902549,27.372743824519002,29.807701371226376
